pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"Neutrophil degranulation"	0.0136791934889464	0.7988893728223	0.380730400722792	0.825563794609216	1.57544684655138	6	ELANE CNN2 AZU1 CFD ARHGAP45
"Innate Immune System"	0.0237794004990225	0.7988893728223	0.352487857583619	0.72045933422527	1.54275966641923	9	ELANE CNN2 AZU1 CFD ARHGAP45 GZMM
"Immune System"	0.0546875	0.7988893728223	0.241339976815091	0.651905112701826	1.4473110030375	11	ELANE CNN2 AZU1 CFD ARHGAP45 GZMM
"Activation of NMDA receptors and postsynaptic events"	0.0586643663368488	0.7988893728223	0.321775918075361	0.985507246376812	1.31155740810912	1	GRIN3B
"Assembly and cell surface presentation of NMDA receptors"	0.0586643663368488	0.7988893728223	0.321775918075361	0.985507246376812	1.31155740810912	1	GRIN3B
"Neurotransmitter receptors and postsynaptic signal transmission"	0.0586643663368488	0.7988893728223	0.321775918075361	0.985507246376812	1.31155740810912	1	GRIN3B
"Transmission across Chemical Synapses"	0.0586643663368488	0.7988893728223	0.321775918075361	0.985507246376812	1.31155740810912	1	GRIN3B
"Diseases of signal transduction by growth factor receptors and second messengers"	0.072	0.7988893728223	0.237793834423688	-0.90758765582804	-1.37646007936969	2	FGF22
"FGFR2 mutant receptor activation"	0.072	0.7988893728223	0.237793834423688	-0.90758765582804	-1.37646007936969	2	FGF22
"Signaling by FGFR in disease"	0.072	0.7988893728223	0.237793834423688	-0.90758765582804	-1.37646007936969	2	FGF22
"Signaling by FGFR2 in disease"	0.072	0.7988893728223	0.237793834423688	-0.90758765582804	-1.37646007936969	2	FGF22
"Degradation of the extracellular matrix"	0.0752475247524752	0.7988893728223	0.231126709673834	0.922870006955308	1.33557036514035	2	ELANE BSG
"Intracellular signaling by second messengers"	0.076	0.7988893728223	0.231126709673834	-0.900190929298216	-1.36524210089572	2	FGF22
"PIP3 activates AKT signaling"	0.076	0.7988893728223	0.231126709673834	-0.900190929298216	-1.36524210089572	2	FGF22
"MAPK family signaling cascades"	0.0932203389830508	0.7988893728223	0.213927855492356	-0.835820895522388	-1.41039785748916	3	FGF22 SHC2 ABHD17A
"MAPK1/MAPK3 signaling"	0.0932203389830508	0.7988893728223	0.213927855492356	-0.835820895522388	-1.41039785748916	3	FGF22 SHC2 ABHD17A
"RAF/MAP kinase cascade"	0.0932203389830508	0.7988893728223	0.213927855492356	-0.835820895522388	-1.41039785748916	3	FGF22 SHC2 ABHD17A
"Activation of Matrix Metalloproteinases"	0.103921568627451	0.7988893728223	0.193813302725311	0.956521739130435	1.27298219022356	1	ELANE
"Collagen degradation"	0.103921568627451	0.7988893728223	0.193813302725311	0.956521739130435	1.27298219022356	1	ELANE
"Programmed Cell Death"	0.103921568627451	0.7988893728223	0.193813302725311	0.956521739130435	1.27298219022356	1	ELANE
Pyroptosis	0.103921568627451	0.7988893728223	0.193813302725311	0.956521739130435	1.27298219022356	1	ELANE
"Regulated Necrosis"	0.103921568627451	0.7988893728223	0.193813302725311	0.956521739130435	1.27298219022356	1	ELANE
"Regulation of Complement cascade"	0.103921568627451	0.7988893728223	0.193813302725311	0.956521739130435	1.27298219022356	1	ELANE
"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation"	0.137254901960784	0.7988893728223	0.166933848713193	0.942028985507246	1.25369458128078	1	CNN2
"Interleukin-12 family signaling"	0.137254901960784	0.7988893728223	0.166933848713193	0.942028985507246	1.25369458128078	1	CNN2
"Interleukin-12 signaling"	0.137254901960784	0.7988893728223	0.166933848713193	0.942028985507246	1.25369458128078	1	CNN2
"Activated point mutants of FGFR2"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Constitutive Signaling by Aberrant PI3K in Cancer"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Downstream signaling of activated FGFR1"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Downstream signaling of activated FGFR2"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"FGFR1 ligand binding and activation"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"FGFR1b ligand binding and activation"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"FGFR2 ligand binding and activation"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"FGFR2b ligand binding and activation"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"FGFRL1 modulation of FGFR1 signaling"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"FRS-mediated FGFR1 signaling"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"FRS-mediated FGFR2 signaling"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"IGF1R signaling cascade"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"IRS-mediated signalling"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"IRS-related events triggered by IGF1R"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Insulin receptor signalling cascade"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Negative regulation of FGFR1 signaling"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Negative regulation of FGFR2 signaling"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Negative regulation of the PI3K/AKT network"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"PI-3K cascade:FGFR1"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"PI-3K cascade:FGFR2"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"PI3K Cascade"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"PI3K/AKT Signaling in Cancer"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Phospholipase C-mediated cascade: FGFR1"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Phospholipase C-mediated cascade; FGFR2"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"SHC-mediated cascade:FGFR1"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"SHC-mediated cascade:FGFR2"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Signaling by FGFR1"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Signaling by Insulin receptor"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)"	0.140243902439024	0.7988893728223	0.16823816568964	-0.956521739130435	-1.23857208377923	1	FGF22
"Ion channel transport"	0.158823529411765	0.844411764705882	0.154190966581424	0.927536231884058	1.234406972338	1	ATP8B3
"Ion transport by P-type ATPases"	0.158823529411765	0.844411764705882	0.154190966581424	0.927536231884058	1.234406972338	1	ATP8B3
"TP53 Regulates Transcription of Cell Cycle Genes"	0.158823529411765	0.844411764705882	0.154190966581424	0.91304347826087	1.21511936339522	1	ARID3A
"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest"	0.158823529411765	0.844411764705882	0.154190966581424	0.91304347826087	1.21511936339522	1	ARID3A
